student_id,subject_id,risk_label,risk_level
1,CS101,0,Low
1,CS102,0,Low
1,MA101,0,Low
2,CS103,1,Medium
2,EC101,0,Low
3,CS101,0,Low
3,CS102,0,Low
3,MA101,0,Low
4,CS103,0,Low
4,EC101,0,Low
5,CS101,2,High
5,CS102,2,High
5,MA101,2,High
6,CS103,0,Low
6,EC101,0,Low
7,CS101,1,Medium
7,CS102,1,Medium
7,MA101,0,Low
8,CS103,0,Low
8,EC101,0,Low
9,CS101,1,Medium
9,CS102,1,Medium
9,MA101,1,Medium
10,CS103,0,Low
10,EC101,0,Low
11,CS101,0,Low
11,CS102,0,Low
11,MA101,0,Low
12,CS103,1,Medium
12,EC101,1,Medium
13,CS101,0,Low
13,CS102,0,Low
13,MA101,0,Low
14,CS103,0,Low
14,EC101,0,Low
15,CS101,1,Medium
15,CS102,1,Medium
15,MA101,1,Medium
16,CS103,1,Medium
16,EC101,1,Medium
17,CS101,0,Low
17,CS102,0,Low
17,MA101,0,Low
18,CS103,0,Low
18,EC101,1,Medium
19,CS101,1,Medium
19,CS102,1,Medium
19,MA101,1,Medium
20,CS103,0,Low
20,EC101,0,Low
21,CS101,0,Low
21,CS102,1,Medium
21,MA101,1,Medium
22,CS103,0,Low
22,EC101,0,Low
23,CS101,1,Medium
23,CS102,1,Medium
23,MA101,0,Low
24,CS103,0,Low
24,EC101,0,Low
25,CS101,0,Low
25,CS102,0,Low
25,MA101,0,Low
26,CS103,0,Low
26,EC101,1,Medium
27,CS101,0,Low
27,CS102,0,Low
27,MA101,0,Low
28,CS103,2,High
28,EC101,2,High
29,CS101,1,Medium
29,CS102,0,Low
29,MA101,1,Medium
30,CS103,0,Low
30,EC101,1,Medium
31,CS101,2,High
31,CS102,2,High
31,MA101,2,High
32,CS103,2,High
32,EC101,2,High
33,CS101,1,Medium
33,CS102,1,Medium
33,MA101,1,Medium
34,CS103,0,Low
34,EC101,0,Low
35,CS101,0,Low
35,CS102,1,Medium
35,MA101,0,Low
36,CS103,1,Medium
36,EC101,1,Medium
37,CS101,0,Low
37,CS102,0,Low
37,MA101,0,Low
38,CS103,0,Low
38,EC101,0,Low
39,CS101,1,Medium
39,CS102,1,Medium
39,MA101,1,Medium
40,CS103,0,Low
40,EC101,0,Low
41,CS101,1,Medium
41,CS102,1,Medium
41,MA101,1,Medium
42,CS103,0,Low
42,EC101,0,Low
43,CS101,0,Low
43,CS102,0,Low
43,MA101,0,Low
44,CS103,1,Medium
44,EC101,1,Medium
45,CS101,1,Medium
45,CS102,0,Low
45,MA101,0,Low
46,CS103,1,Medium
46,EC101,1,Medium
47,CS101,1,Medium
47,CS102,1,Medium
47,MA101,1,Medium
48,CS103,0,Low
48,EC101,0,Low
49,CS101,0,Low
49,CS102,0,Low
49,MA101,0,Low
50,CS103,1,Medium
50,EC101,0,Low
51,CS101,0,Low
51,CS102,0,Low
51,MA101,0,Low
52,CS103,0,Low
52,EC101,0,Low
53,CS101,2,High
53,CS102,2,High
53,MA101,2,High
54,CS103,1,Medium
54,EC101,1,Medium
55,CS101,0,Low
55,CS102,1,Medium
55,MA101,1,Medium
56,CS103,0,Low
56,EC101,0,Low
57,CS101,1,Medium
57,CS102,1,Medium
57,MA101,1,Medium
58,CS103,0,Low
58,EC101,0,Low
59,CS101,0,Low
59,CS102,0,Low
59,MA101,1,Medium
60,CS103,1,Medium
60,EC101,0,Low
61,CS101,0,Low
61,CS102,0,Low
61,MA101,0,Low
62,CS103,1,Medium
62,EC101,0,Low
63,CS101,2,High
63,CS102,2,High
63,MA101,2,High
64,CS103,2,High
64,EC101,2,High
65,CS101,2,High
65,CS102,2,High
65,MA101,2,High
66,CS103,0,Low
66,EC101,0,Low
67,CS101,2,High
67,CS102,2,High
67,MA101,2,High
68,CS103,0,Low
68,EC101,0,Low
69,CS101,2,High
69,CS102,2,High
69,MA101,2,High
70,CS103,1,Medium
70,EC101,0,Low
71,CS101,1,Medium
71,CS102,1,Medium
71,MA101,1,Medium
72,CS103,2,High
72,EC101,2,High
73,CS101,0,Low
73,CS102,1,Medium
73,MA101,1,Medium
74,CS103,0,Low
74,EC101,0,Low
75,CS101,1,Medium
75,CS102,1,Medium
75,MA101,1,Medium
76,CS103,0,Low
76,EC101,0,Low
77,CS101,1,Medium
77,CS102,1,Medium
77,MA101,1,Medium
78,CS103,0,Low
78,EC101,0,Low
79,CS101,0,Low
79,CS102,0,Low
79,MA101,1,Medium
80,CS103,1,Medium
80,EC101,0,Low
81,CS101,1,Medium
81,CS102,1,Medium
81,MA101,0,Low
82,CS103,2,High
82,EC101,2,High
83,CS101,0,Low
83,CS102,0,Low
83,MA101,0,Low
84,CS103,0,Low
84,EC101,0,Low
85,CS101,0,Low
85,CS102,0,Low
85,MA101,0,Low
86,CS103,1,Medium
86,EC101,1,Medium
87,CS101,2,High
87,CS102,2,High
87,MA101,2,High
88,CS103,2,High
88,EC101,2,High
89,CS101,1,Medium
89,CS102,0,Low
89,MA101,1,Medium
90,CS103,0,Low
90,EC101,0,Low
91,CS101,1,Medium
91,CS102,0,Low
91,MA101,0,Low
92,CS103,0,Low
92,EC101,0,Low
93,CS101,1,Medium
93,CS102,0,Low
93,MA101,1,Medium
94,CS103,0,Low
94,EC101,0,Low
95,CS101,0,Low
95,CS102,0,Low
95,MA101,1,Medium
96,CS103,1,Medium
96,EC101,0,Low
97,CS101,0,Low
97,CS102,0,Low
97,MA101,0,Low
98,CS103,0,Low
98,EC101,1,Medium
99,CS101,1,Medium
99,CS102,0,Low
99,MA101,1,Medium
100,CS103,0,Low
100,EC101,0,Low
101,CS101,2,High
101,CS102,2,High
101,MA101,2,High
102,CS103,0,Low
102,EC101,0,Low
103,CS101,1,Medium
103,CS102,1,Medium
103,MA101,1,Medium
104,CS103,0,Low
104,EC101,0,Low
105,CS101,1,Medium
105,CS102,1,Medium
